Name,Developer,Rating,Rating_Number,short_description,key_benefits,Price
Checkout Comments,Judge.me,4.8,8,Get product feedback from your buyers right at checkout.,"Understand buyer intent 
       Collect comments during checkout to understand why your customers purchase your products. 
    
     
       Analyze your checkout comments 
       Compare all checkout comments and improve your marketing, product and customer experience with the new insights. 
    
     
       Show comments as micro-reviews 
       Micro-reviews improve the conversion rate on your product pages and help you to get more traffic with fresh & relevant content (SEO).",Free
TURBO ( from $6.00/mo. ),Apolomultimedia.com,5,7,Product Filter + Search + Quick View + Sticky Cart + Badges,"5 apps for your collections 
       Filter and make your collection page a powerful sales tool with these 4 apps : Product Filter + Search + Quick View + Sticky Cart + Badges 
    
     
         
           
         
       Product Filter, Smart Search 
       Reduce the search time.
Your customers will filter and search your products in less time.
Enjoy this extra feature of our filter app. 
    
     
         
           
         
       Quick View, Sticky Cart, Badge 
       Reduce Shopping Time.
Your customers won't waste time reloading and adding products.
Enjoy this extra feature of our filter app.","Plan $6.00
       

     
      $6/month
 

   

     
             Up t o 100 products 
             Product Filter included 
             Smart Search included 
             Quick View included 
             Sticky Cart included 
             Badges included 
 
   
       
        Plan $11.00
       

     
      $11/month
 

   

     
             Up t o 500 products 
             Product Filter included 
             Smart Search included 
             Quick View included 
             Sticky Cart included 
             Badges included 
 
   
       
        Plan $14.75
       

     
      $14.75/month
 

   

     
             Up t o 1000 products 
             Product Filter included 
             Smart Search included 
             Quick View included 
             Sticky Cart included 
             Badges included 
 
   
       
        Plan $36.00
       

     
      $36/month
 

   

     
             Up t o 5,000 products 
             Product Filter included 
             Smart Search included 
             Quick View included 
             Sticky Cart included 
             Badges included"
Swap Photo Editor,Engage Apps,4.7,34,Remove third-party watermarks and easily bulk edit your images,"Erase logos 
       Remove watermarks from photos automatically or using the built-in editor. 
    
     
       Erase backgrounds 
       Remove solid colour and gradient backgrounds from your photos. 
    
     
       Super fast interface 
       Select multiple photos and edit them in one click. Dozens of features!","Free Trial
       

     
      Free
 

   

     
             Get 15 Free Swaps to try before you buy. 
             Immediate results! 
 
   
       
        Pay-As-You-Go
       

     
      $0.50/month
 

       
        20 cents per image swap
       
   

     
             Pay for each swap. 
             Includes Engage Pro Assistance at no extra charge (we'll do the work). 
             No obligations, cancel anytime. 
 
   
       
        Monthly Unlimited
       

     
      $9.99/month
 

   

     
             Unlimited access with no extra charges. 
             Monthly plans start at $9.99 depending on shop size. 
             No obligations, cancel anytime. 
 
   
       
        Lifetime Unlimited
       

     
      $1.67/month
 
       
        billed at $19.99 once per year
       

   

     
             One time payment (not yearly). 
             Unlimited access with no extra charges. 
             Lifetime membership plan starts at $19.99, depending on shop size."
Infoplus Connect,Infoplus,0,0,"Streamline your warehouse, orders, inventory and shipments.",,Free
Kit Karts,ShopPad Inc.,4.6,353,Abandoned cart recovery for Kit,"Recover lost sales 
       Merchants lose 60-80% of their transactions to abandoned carts. Kit Karts gets it back for you 
    
     
         
           
         
       Effortless revenue 
       Give abandoned carts a little nudge and turn them into paying customers to improve the conversion rate of your existing traffic 
    
     
         
           
         
       Integrates with Shopify Kit 
       Kit Karts seamlessly integrates with your store using the Kit virtual marketing assistant",$4.99/month
Free Plus Shipping,"Swank Apps, LLC",2.8,18,Assign shipping rates to products for free plus shipping deals,"Easily set shipping rates 
       Avoid using hacks with price and weight shipping rules.  Assign shipping rates directly to each product. 
    
     
       Combine all shipping charges 
       Import price and weight shipping rules in the app, setup Free + Shipping deals, the app then serves up one rate with all shipping charges. 
    
     
       Recommended for drop shipping 
       Use this app in combination with drop shipping products to create the ultimate free just pay shipping deals.","Basic
       

     
      $9.99/month
 

   

     
             Set Free + Shipping rates at the product level, manage price and weight based shipping rates, cart check to ensure properly functioning rate 
 
   
       
        Premium
       

     
      $29.99/month
 

   

     
             Unlimited free + shipping rates, shipping method analytics, shipping method A/B tests to find the optimal shipping rates for your products"
Approach by LimeSpot,LimeSpot,4.2,21,AI-powered Targeted Email Campaigns and Newsletters,"Reach Exactly the Right People 
       Automatically segment your shoppers into meaningful groups (i.e. New Customers, First Time Buyers, High Spenders, etc.) 
    
     
         
           
         
       Data Driven Recommendations 
       Automatically curate the right products for each individual based on their demographics, interests and behavior patterns. 
    
     
         
           
         
       Analytics and Dashboard 
       Campaigns are tracked and intelligently processed to present a multi-dimensional view on each campaign and its performance.","Free to install
 

       
        Pay only for emails you sent. Enjoy 500 free emails per month."
Instagram Shop ‑ AAA Instagram,AAAeCommerce Inc,4.7,28,"Shoppable Instagram, Instagram Feed & Instagram Look Book APP","Shoppable Instagram Gallery 
       Home Page Feed from Instagram. Multiple Instagram Feeds based on #tags of Instagram Images. Sync Instagram Images on store. 
    
     
         
           
         
       Increase Sale by Instagram 
       Create more Instagram engagement .Tag Multiple Products on Instagram and redirect users to product page of your store. 
Instagram=More Sale 
    
     
         
           
         
       Instagram Feed Gallery 
       Instagram Custom Gallery & Look book on Store from Instagram.
Instagram YouTube Gallery easily & add separate thumb Video.
Instagram=Gallery","STARTER
       

     
      $9/month
 

   

     
             Instagram Home page feed 
             Shoppable Galleries (Product Tagging) 
             2 Custom Galleries 
             Image Moderation 
 
   
       
        PROFESSIONAL
       

     
      $15/month
 

   

     
             Instagram Home page feed 
             No Branding 
             Shoppable Galleries (Product Tagging) 
             5 Custom Galleries 
             Image Moderation 
             Video Galleries (Youtube & Vimeo) 
 
   
       
        Advance
       

     
      $35/month
 

   

     
             All Professional Plan features + 
             Unlimited Custom Galleries 
             Customizable Option"
Callexa NPS Feedback,OnDemand Web Solutions GmbH,5,1,Get valuable customer feedback with automated NPS surveys.,"Effortless customer surveys 
       Let Callexa automatically survey your customers a few days after an order has been shipped. Set it up in 15 minutes and you're ready to go. 
    
     
       All ratings in one dashboard 
       View the gathered customer feedback in our convenient dashboard or let Callexa sync it back to your order entries. 
    
     
       Proven Statistics 
       Get valuable comments from your customers and useful statistics based on the well established Net Promoter Score.",Free
Nice ‑ Add to cart button,GoldenDev (Nice),4.9,20,Get a sales boost with an add to cart button & buy button now!,"Sales boost from buy button! 
       Buy button will boost your sales as your customers will be able to place orders faster. 
    
     
         
           
         
       Add to cart button improves UX 
       Cart button and sticky cart will greatly improve shopping experience by making it easier for your customers to add items to the cart. 
    
     
         
           
         
       Sticky cart for sales boost 
       The sticky cart will make it easier for customers to find your checkout. It will help you increase conversions!","Best value
       

     
      $9.99/month
 

   

     
             You get the first 5 days for FREE! 
             Total buy button customization 
             Different cart button designs 
             Can hide button on out of stock products"
Purolator,netParcel,5,1,Delivering your promises in the online world,"Drive Efficiency 
       Drive efficiency in your supply chain with technology-powered solutions 
    
     
         
           
         
       Improve Online Sales 
       Improve online sales and exceed customer expectations 
    
     
         
           
         
       Save On Shipping 
       Save on a range of delivery options to 99.9% of Canadian postal codes",Free
Smart Google Shopping Ads,"OnlineSales, Inc.",2.3,3,Maximize your ROI on Google Shopping Ads,"Product Catalog Enhancements 
       Automatically optimize & enhance your product catalog to boost volumes & ROI on Google Shopping. For e.g. enhanced titles & product images. 
    
     
         
           
         
       Predictive Optimizations 
       Unlike spray & pray methods, OnlineSales.ai runs predictive ROI analytics across all your SKUs & intelligently bids at SKU level on Google. 
    
     
         
           
         
       Fully Automated Campaigns 
       ROI Driven automated solution - from Catalog Sync to ROI Optimizations to Smart Budgeting to Reporting - it's all taken care of!","Free to install
 

       
        Our app is completely free to use for up to $500 of monthly ad spend on Google Shopping."
Shippingly,Soma Commerce,2,1,shipping and tax calculator in product page and cart page,"GeoIP Shipping Calculator 
       Shipping calculator and tax calculator on product page and cart page.  Displays automatically by geo-ip based detection. 
    
     
       Reduces cart abandonment 
       Reduces cart abandonment by eliminating hidden costs to the shopper. 
    
     
       Automatic installation 
       App installs automatically on product page and cart page. Flexible one time pricing.",$5/month
Reviewmate ‑ Photo Reviews,dsmatepro,3,7,"Import Reviews from Aliexpress, Amazon, Walmart, Dhgate ...","Easily Import Reviews 
       With a single mouse click you can add unlimited volume of reviews to your store quickly. 
    
     
       Customization 
       Keep full control over your reviews appearances and descriptions. 
    
     
       Automate the Hassle 
       ReviewmatePro heeds with everything automatically--from reviews management to order fulfilment.","Standard Plan
       

     
      $5.99/month
 

   

     
             Import Unlimited reviews from Aliexpress and Amazon 
 
   
       
        Professional Plan
       

     
      $11.99/month
 

   

     
             Import Unlimited reviews from Aliexpress,Amazon,Dhgate,Walmart,Banggood,Sammydress."
Easy Free Shipping Bar,Metizsoft Solutions Pvt Ltd,0,0,Offer free shipping to increase your average revenue and boost,,Free
Dynamic Retargeting by Rontar,Rontar Group OU,4.1,26,Convert non-purchasing visitors into customers,"Increase your sales 
       Increase sales, providing a high ROI in just a few clicks 
    
     
       Increase your brand awareness 
       Build brand awareness by customizing the look and feel of ad creative. Do it yourself or turn to us – we will customize it for you. 
    
     
       Track statistics in one place 
       Track conversions, revenue and profit in a single handy interface","Free to install
 

       
        $100 initially and then every time the balance gets low."
ByteStand ‑ Amazon to Shopify,ByteStand,4.4,95,Amazon products to Shopify in One Click,"Everything you Need 
       Capture everything from Amazon, for a complete product listing in Shopify, including hi-res images, prices and full product description 
    
     
         
           
         
       To Sell on Amazon and Shopify 
       Amazon FBA or Merchant Fulfilled products from Amazon to Shopify. We get all your products. 
    
     
         
           
         
       With One Click 
       Push all or some of your Amazon products with variants, to Shopify, with one more simple click","100 SKUs or less
       

     
      $10/month
 

   

     
             Pull and push your active inventory as often as you like. We retrieve everything you need from Amazon for a complete listing on Shopify. 
 
   
       
        Up to 500 SKUs
       

     
      $15/month
 

   

     
             Pull and push your active inventory as often as you like. We retrieve everything you need from Amazon for a complete listing on Shopify. 
 
   
       
        Up to 1,000 SKUs
       

     
      $20/month
 

       
        $50 upfront fee, including 1 month of maintenance free
       
   

     
             Pull and push your active inventory as often as you like. We retrieve everything you need from Amazon for a complete listing on Shopify. 
 
   
       
        Up to 3,000 SKUs
       

     
      $30/month
 

       
        Additional plans are available, please see our pricing page
       
   

     
             Pull and push your active inventory as often as you like. We retrieve everything you need from Amazon for a complete listing on Shopify."
Fast Checkout In One Click,Sweet Ecom ,4.8,32,Skip cart page and go to direct to checkout!,"No More Cart Page 
       No more unnecessary steps are needed. Just buying! 
    
     
         
           
         
       Quick Checkout For Customers 
       Faster transactions - more loyalty and satisfaction of your customers. 
    
     
         
           
         
       Customized For Your Store 
       Fully compatible with the theme of your store, but at the same time - fully customizable.",Free
eBay Professional Importer,InfoShore Software Private Limited,4.9,118,Easiest way to import products from your eBay Seller Account,"Import from eBay to Shopify 
       This app can import all active listings from your eBay seller account to your Shopify store automatically. 
    
     
       Import all images and variants 
       Include high-resolution product images and support products with multiple variants. 
    
     
       Inventory and Price Sync 
       Have option to sync price and quantity periodically (eBay to Shopify).","Bronze (500 Items)
       

     
      $14.95/month
 

       
        $40 Setup Fee Includes 1 Month Membership FREE
       
   

     
             Import up to 500 eBay items 
             One time FEE for one time import 
             Real-time Sync Service from second month @ $14.95 /month 
 
   
       
        Silver(2000 Items)
       

     
      $24.95/month
 

       
        $80 Setup Fee Includes 1 Month Membership FREE
       
   

     
             Import up to 2000 eBay items 
             One time FEE for one time import 
             Realtime Sync Service @ $24.95 /month 
 
   
       
        Gold (5000 Items)
       

     
      $39.95/month
 

       
        $200 Setup Fee Includes 1 Month Membership FREE
       
   

     
             Import up to 5000 eBay items 
             One time FEE for one time import 
             Realtime Sync Service @ $39.95 /month"
Duties paid global shipping,Yakit,4.8,16,"Simple shipping with landed cost in cart, boosts conversions","Boost conversions and LTV 
       - Reduce shopping cart abandonment
- Manage duties & taxes
- Offer free or subsidized shipping 
    
     
       Hassle free global shipping 
       - Electronic submission of all customs docs
- Automated catalog learning including HS codes
- Weights and Dims management 
    
     
       Best rates from 200+ partners 
       - Use our logistics rates
- Or, use your own billing accounts and just our App","Free to install
 

       
        Yakit shipping includes a surcharge.  Or pay for the label."
Feefo Ratings & Reviews,Feefo Holdings Limited,3.7,9,"Real opinions, better decisions.","Increase Traffic 
       As an official Google Content Partner, all Feefo reviews are 100% verified and sent directly to Google. 
    
     
       Increase Sales 
       Feefo helps to boost your ROI on advertising through improved click through rates (CTR) and improved Quality Score. 
    
     
       Increase Insights 
       Thanks to Feefo’s custom reporting suite and analytics you can better understand your customer’s wants and needs.",Free
Fulfillrite,Fulfillrite,5,60,Ecommerce Order Fulfillment. Simplified.,"Complete Fulfillment Service 
       Ecommerce and crowdfunding fulfillment services built for the entrepreneur. Warehousing, inventory management, pick/packing and shipping. 
    
     
         
           
         
       Your Brand is King 
       Zero-errors. Same day shipping on all orders. Your products packed and shipped perfectly each time. Custom logo, inserts, & emails. Be you! 
    
     
         
           
         
       We're Smart. People. 
       Seamless integration. Advanced scanning and packing automation. Serviced by real people who know your company and are here to help.","Free to install
 

       
        Our pricing is pretty simple. Reach out to us for a clear guide on fulfillment fees, postage fees, and storage fees."
Leads On Whatsapp,Adevole,4.7,14,Get leads directly on your Whatsapp and convert leads to sales,"New Sales Channel 
       Chat with leads directly through Whatsapp, configure multiple Whatsapp numbers with multiple Call To Action text and convert more sales! 
    
     
       Multiple numbers and CTA 
       Only app that allows you to configure multiple Whatsapp numbers and multiple Call To Actiion Button text! 
    
     
       Customer Support 
       Easiest means for user to ask for Customer Support. Using Whatsapp business app you can set away and greetings messages too!",$5/month
Pop‑Up Builder,Calconic,3,10,Engage your Shopify visitors with a stunning pop-up!,"Build your own custom pop-ups 
       Our simple drag-and-drop editor makes it easy to design and build amazing pop-ups that fit mobile and desktop websites perfectly. 
    
     
         
           
         
       Launch campaigns in minutes 
       Our selection of templates will help you launch a stunning pop-up in just a few clicks with no need for design or programing knowledge. 
    
     
         
           
         
       Customize everything 
       Adjust pop-up delays, temporarily hide your pop-up, set unique messages for mobile and desktop pop-ups, and so much more.",$2.99/month
Tshirt & Product Design Studio,SolverCircle,4.4,49,"Design product (T-shirt, Mug, Bag, etc.) with text, image, etc",,"Premium
       

     
      $13.99/month
 

   

     
             Basic features like customizing product with logo, text, images, etc. Get the customer's design details in app backend 
 
   
       
        Gold
       

     
      $29.99/month
 

   

     
             Premium features. Additional features - Download SVG, Font upload, Change product color, Re-design from Cart"
Stocky Inventory Management,Vinderbit Pty Ltd,4.9,95,"Demand Forecasting, Purchase Orders, Stocktakes & More","Demand forecasting 
       No more spreadsheets and manual calculations needed when placing orders with your suppliers! 
    
     
         
           
         
       Streamline your inventory 
       Figure out which products to order more of and which to ditch meaning you have less cash held up in slow moving inventory. 
    
     
         
           
         
       Two way syncing 
       Stays in sync in real-time. Any changes made at either end automatically show on the other within seconds!","Small Plan
       

     
      $29/month
 

   

     
             For managing up to 100 products 
             Single shared user 
             Up to & including Shopify Advanced 
 
   
       
        Medium Plan
       

     
      $59/month
 

   

     
             For managing 101 to 1,000 products 
             5 users 
             Up to & including Shopify Advanced 
 
   
       
        Large Plan
       

     
      $79/month
 

   

     
             For managing 1,001 to 6,000 products 
             10 users 
             Up to & including Shopify Advanced 
 
   
       
        Something bigger?
       

     
      $99/month
 

   

     
             For Shopify Plus store plans and higher product & user limits please see our website for more details. 
             Plans range from $99 to $249/month"
Internetmarke,Deutsche Post AG + Vilango GmbH,3,5,"Print postage online - Immediate, easy and fast",,"Free to install
 

       
        Charges incurred by Deutsche Post"
Low Stock Alert,Exto,5,48,Keep track of your low stock items automatically,"Cut on stock management time 
       Simplify your inventory management by applying mass actions via CSV import/export. 
    
     
       Keep your items in stock 
       Get the list of your low stock items delivered to you on a scheduled basis. 
    
     
       Get instant low stock alerts 
       Receive instant notifications right when a product's stock level goes below predefined threshold.","Free
       

     
      Free
 

   

     
             Great fit for smaller stores with less than a hundred products. Get all the essential features for free. 
 
   
       
        Starter 
       

     
      $1.99/month
 

   

     
             The plan is created for stores with 300 products or less. Gain access to analytics in addition to all the basic features. 
 
   
       
        Basic
       

     
      $2.99/month
 

   

     
             Set up custom email addresses for different alerts and fine-tune the alert collection settings. Limited to 500 products. 
 
   
       
        Advanced
       

     
      $6.99/month
 

       
        Check out our pricing page for additional plan options.
       
   

     
             Receive instant alerts on top of all the features coming with the Basic plan. Limited to 1000 products per store."
Findify Search & Discovery,Findify,4.8,234,"Sell more with A.I. - Search, Recommendations & Collections","Enterprise-grade A.I. 
       Increase sales leveraging enterprise grade Artificial Intelligence, delivering real-time, automated personalization 
    
     
         
           
         
       Fully & easily customizable 
       Give your creative team the freedom to customize Findify products however way they need, to match your brand. 
    
     
         
           
         
       A complete optimization suite 
       Don't slow down your store with apps. Findify offers advanced analytics and  personalization across search, recommendations and collections.","Lite
       

     
      Free
 

   

     
             Our A.I powered Search solution plus: 
             Autocomplete 
             Typo tolerance 
             Filtering 
             Style editor 
             Up to 5k unique visitors/month 
             5k products 
 
   
       
        Essentials
       

     
      $149/month
 

   

     
             Everything in the Lite plan plus basic merchandising: 
             Pinning 
             Synonyms 
             Banners 
             Product stickers 
             Up to 15k unique visitors/month 
             10k products 
 
   
       
        Power Kit
       

     
      $399/month
 

   

     
             Everything in the Essentials plan plus: 
             Personalized Product Recommendations 
             Advanced Merchandising 
             Up to 40k unique visitors/month 
             40k products 
 
   
       
        Enterprise
       

     
      $799/month
 

       
        See our pricing page for more information. 
       
   

     
             A bespoke package tailored to your needs including: 
             Everything in all other plans 
             Our A.I. powered filtered Smart Collections solution"
AuthentiPix,RedBit Development,4.5,56,Let your best customers become your brand ambassadors!,"Customized Instagram Feed 
       Add a customized Instagram feed directly onto your Shopify store with just a few simple clicks! 
    
     
       Showcase Customer Content 
       Showcase your loyal customers showing the use of your product on their Instagram feeds! 
    
     
       Content Moderation 
       Approve images in your campaigns before they go on your site avoiding embarrassing images going up!",$10/month
Feedback Button,Webyze,1.3,3,Add a Feedback button to your store and get precious feedback!,"Increase your Conversion Rate 
       Increase your conversion rate by answering your customers questions. 
    
     
         
           
         
       Get Feedback 
       Get precious feedback and suggestions. 
    
     
         
           
         
       Know your customers 
       Know your customers by letting them tell you what they want!",$4.50/month
Better Coupon Box,Beeketing,4.8,4344,"Customizable coupon popups, collect emails & social followers.","Capture leads and grow sales 
       Display a beautifully responsive coupon popup to turn visitors into email subscribers, social followers and convert them into sales. 
    
     
         
           
         
       Recover abandoned carts 
       Exit intent popup to prevent cart abandonment and convert bouncing visitors into customers. 
    
     
         
           
         
       Customizable coupon popups 
       100% Customizable popup themes so you create your own popup designs, plus Holiday Themes Collection to boost sales on holiday season","Free to install
 

       
        Additional charges for premium features: STARTER ($30/3 months), PRO ($54/ 6 months), PLUS ($99/a year)"
ROI Hunter Easy Retargeting,ROI Hunter,4.6,310,Grow sales with retargeting ads on Facebook & Google Ads,"Create retargeting ads 
       Easily set up your retargeting ads on Google & Facebook and our amazing support is always there to help you. 
    
     
         
           
         
       Recover abandoned carts 
       Your visitors come & go? Bring them back through personalized ads through powerful networks of Google and Facebook. 
    
     
         
           
         
       Grow your sales 
       On average, our customers see an amazing return on investment with their retargeting ads with little to no effort at all.","Basic
       

     
      Free
 

   

     
             Google Ads Retargeting 
             Facebook Retargeting 
 
   
       
        Premium
       

     
      $19.99/month
 

   

     
             All the features from the BASIC plan 
             Facebook Ad Overlays 
             Free 14-day trial"
Clipboard Manager,Architechpro OÜ,0,0,Increase amount of backlinks and secure your content,"Protect your store 
       Choose types of content you want to protect or actions that need to be prevented or blocked 
    
     
         
           
         
       Secures text and images 
       We will take care about your high quality content and if you wish will allow citation with back links to Your Store 
    
     
         
           
         
       Get more traffic and sales 
       Clipboard Manager helps you to improve SEO with backlinks and taking care about TIC of Your Store","Basic
       

     
      $2.99/month"
Wallet Management by Webkul,Webkul Software Pvt Ltd,5,1,Digital Payment Transaction with Digital Wallet,,$10/month
AfterShip ‑ Track + Engage,AfterShip,4.8,2795,Delight customers with branded tracking page & delivery update,"Branded Tracking Experience 
       Engage customers with a branded tracking page to show latest order status and marketing banner to impress and upsell customers. 
    
     
         
           
         
       Track All in One Place 
       Track and trace all shipments across 450+ carriers worldwide in one place. Free users enjoy tracking 100 shipments each month for free! 
    
     
         
           
         
       Automated Delivery Updates 
       Send automated, timely and personalized emails and texts to update customers on order status until delivery. Turn them into your loyal fans.","Starter
       

     
      Free to install
 

       
        $0.5 per extra shipment
       
   

     
             100 shipments quota per month 
             Branded tracking page with banner 
             CSV Export 
 
   
       
        Essential
       

     
      $9/month
 

       
        $0.08 per extra shipment
       
   

     
             100 shipments quota per month 
             Branded tracking page with banner 
             Email & SMS notifications 
             CSV Export 
 
   
       
        Growth
       

     
      $29/month
 

       
        $0.08 per extra shipment
       
   

     
             500 shipments quota per month 
             Branded tracking page with banner 
             Email & SMS notifications 
             CSV Export 
 
   
       
        Pro
       

     
      $99/month
 

       
        $0.08 per extra shipment
       
   

     
             2,000 shipments quota per month 
             Branded tracking page with banner 
             Email & SMS notifications 
             CSV Export"
Automatic Backups by Talon,Talon Commerce,4.9,35,A fully automated backup system for your store in one click.,,"Free Plan
       

     
      Free
 

   

     
             Daily backups 
             30 days of history 
             Up to 100 products 
 
   
       
        Basic Plan
       

     
      $8.95/month
 

   

     
             Daily backups 
             30 days of history 
             Up to 1,000 products 
             Realtime tracking 
             Best effort support 
             Theme backups 
             Page backups 
             Blog backups 
 
   
       
        Business Plan
       

     
      $19.95/month
 

   

     
             Daily backups 
             180 days of history 
             Up to 5,000 products 
             Realtime tracking 
             Priority support 
             Theme backups 
             Page backups 
             Blog backups 
 
   
       
        Business Plus Plan
       

     
      $34.95/month
 

   

     
             Daily backups 
             180 days of history 
             Up to 20,000 products 
             Realtime tracking 
             First line support 
             Theme backups 
             Page backups 
             Blog backups"
EasyDash by WITTY,WITTY,5,4,Manage your store while you browse,"Save Tons of Time 
       Manage your store while you browse (directly from your storefront) and significantly reduce the time you spend managing your store. 
    
     
       Edit Everything 
       EasyDash allows you to quickly edit/add/delete products, collections, pages and articles. 
    
     
       One Click Install 
       Simple, one click install. No complicated code to install. Install now and start using within seconds.","$4.99/month
 

   

     
             • FREE FOR 14 DAYS 
             Free 14-Day Trial, then just $4.99/mo 
             • PARTNER FRIENDLY 
             Free to test in development stores."
Revel Systems by Kosmos eSync,Kosmos Central,4.5,2,"List items from Revel in Shopify. Sync Inventory, Orders +More",,$150/month
QR Code By Freeh,Ovaly,5,1,Bring offline customer to online by QR Code,"Support dynamic QR Code 
       Dynamic QR Code are changeable, means it could be an URL to your shop, URL to introduction video, an email address, or a text message etc 
    
     
       High resolution QR Code 
       User can download higher resolution image for printing on cards, T-shirt, cups etc 
    
     
       Many edit options 
       Can change color, size or even upload your business logo",Free
Widgetic (Social Media Grid),Widgetic,3.3,3,Make a grid of real-time social media posts.,"Increase customer base 
       Inspire your visitors to share your products across social media. 
    
     
       Connect with customers 
       Encourage visitors to engage with your brand outside of your store. 
    
     
       Keep customers up-to-date 
       Showcase your most recent Instagram photos in a dynamic grid.","Free
       

     
      Free
 

   

     
             Free forever. 
             The free account allows up to 5 photos. 
             Explore the app's benefits before upgrading. 
 
   
       
        Premium
       

     
      $2.99/month
 

   

     
             Remove branding. 
             Edit number of lines and columns. 
             Display unlimited items."
Zonify,importify,4.7,87,Amazon Dropshipping,"Unlimited Import Products 
       Easily import best-selling products from amazon 
all with a single click. 
    
     
         
           
         
       Built-in Editor 
       Simple but effective built-in editor for product descriptions, 
edit almost any aspect of a given product before importing to your store. 
    
     
         
           
         
       Order fulfilment 
       Fulfil your orders from Amazon with a few clicks.","Basic Plan
       

     
      $14.95/month
 

   

     
             Import unlimited Products from Amazon.com, Amazon.ca, Amazon.co.uk, Amazon.cn, Amazon.fr, Amazon.de, Amazon.in, Amazon.nl, Amazon.es 
 
   
       
        Premium Plan
       

     
      $24.95/month
 

   

     
             Access to the Zonify basic plan + Semi-Automate Order Fulfillment."
CSL Nordic Shipping Options,CSL Consult,5,1,"Offer your customers GLS, PostNord and Bring pickup points.","Popular pickup points 
       Let your customers choose between close pickup points from GLS, Bring and Postnord 
    
     
       Easy setup 
       No dependencies on any other site or data. Install and you are ready to offer your customers all the popular pickup points 
    
     
       All of Scandivia 
       Supports pickup points in Denmark, Sweden, Norway and Finland.",$14.95/month
Split ‑ Partial Payments,SpurIT,4,18,"Partial, Split and Share Payments for Your Shopify Store","Share or multiple payments 
       Allow your customers to pay for the order in several ways or to share a payment with other people. 
    
     
       Zero commission 
       Zero commission for split payments. All payments go through the Shopify billing system that can accept over 100 payment options. 
    
     
       Always up to date inventory 
       The application completely synchronizes inventory and orders. You can manage all partial payments in one place easily.","$9.95/month
 

   

     
             2-in-1: partial and share payments 
             Manual split order creation 
             Reminders for customers 
             Email notifications for merchants 
             24/7 live chat support"
Hidden Collections ‑ Wholesale,⇪ Upsell,5,1,Collections accessible by secret URL only. No Passwords!,"Secret URL 
       Hide any collection and make it accessible by secret URL only. Simply share the URL to give a customer access. 
    
     
       Integrates with search 
       Collections are hidden from your catalog, Google and storefront search. Once accessed, products can be searched and purchased like normal. 
    
     
       Perfect for mailing lists 
       Since there are no user accounts to manage, just a secret URL, Backroom is perfect for mailing list deals and private club collections.","Basic
       

     
      $5/month
 

   

     
             For stores on the Basic plan 
 
   
       
        Shopify
       

     
      $9/month
 

   

     
             For stores on the Shopify plan 
 
   
       
        Advanced
       

     
      $49/month
 

   

     
             For stores on the Advanced Shopify plan 
 
   
       
        Plus, Enterprise
       

     
      $99/month
 

   

     
             For stores on the Shopify Plus, and Enterprise plans"
Pickupp Delivery Service,Pickupp Pte Ltd,5,1,Same day door-to-door delivery solution. We deliver in 4 hours,"Cost effective solution 
       Cost effective last mile delivery solution for local shipments. 4hrs same day delivery service covering Hong Kong, Singapore & Kuala Lumpur 
    
     
       Smooth delivery experience 
       Offer last mile delivery experience for your customers. Enjoy SMS notification for parcels enroute and real time GPS tracking 
    
     
       Well integrated app 
       Easy to use interface allow you to create order in a few clicks. Manage delivery order and get real time status update",Free
Bespoke Shipping,MZL Solutions,4.8,107,Shipping supercharged,"Fully customizable shipping 
       Offer per item rates, Combination pricing, wholesale/retail rates, hide rates when certain items are purchased.
DIY or Fully Managed 
    
     
       Advanced scripting capability 
       Pack items with multiple boxes of different sizes, use multiple origin locations, time based shipping rates, local pickup, the list goes on! 
    
     
       3rd Party integrations 
       Bespoke offers a variety of integrations with 3rd party carriers, If yours isn't listed, get in contact with us to discuss options!",$15/month
Live Search & Smart Search,Okas Concepts,4.9,106,Instant Search & Smart Search suggestions as you type,"Live search suggestions 
       Live search suggestions with unlimited products, collections, pages & blogs. 
    
     
         
           
         
       Search Analysis 
       Complete Search and click pattern analysis. 
    
     
         
           
         
       No configuration required 
       Absolutely no configurations required. Works out of box on installation.","PRO PLAN
       

     
      $3.99/month
 

   

     
             Limited Period Offer 
             Unlimited Searches 
             Unlimited Products/Collections/Pages/Blogs 
             Responsive Design 
             Search Stats 
             Complete customization control"
